no;block;trial;arrow_direct;cond;correct;rt;id
1;1;2;1;0;1;0.76228;1
4;1;6;2;0;1;0.39623;1
8;1;10;1;0;1;0.40478;1
10;1;12;2;0;1;0.45474;1
13;1;15;2;0;1;0.30542;1
15;1;17;2;0;1;0.48755;1
17;1;19;2;0;1;0.46895;1
18;1;20;1;0;1;0.48776;1
19;1;21;1;0;1;0.37491;1
21;1;23;1;0;1;0.36691;1
23;1;25;1;0;1;0.3693;1
25;1;27;2;0;1;0.36488;1
30;1;32;2;0;1;0.3762;1
32;1;34;1;0;1;0.51381;1
33;1;35;1;0;1;0.43308;1
36;1;38;1;0;1;0.43442;1
50;1;52;1;0;1;0.42267;1
55;1;57;2;0;1;0.45262;1
57;1;59;1;0;1;0.36475;1
59;1;61;2;0;1;0.40348;1
67;1;69;1;0;1;0.37867;1
68;1;70;2;0;1;0.35875;1
69;1;71;1;0;1;0.32961;1
70;1;72;2;0;1;0.32266;1
71;1;73;2;0;1;0.40746;1
719;1;3;2;0;1;0.66333;2
721;1;5;1;0;1;0.55928;2
722;1;6;1;0;1;0.44864;2
723;1;7;1;0;1;0.4852;2
724;1;8;2;0;1;0.61825;2
726;1;10;2;0;1;0.46486;2
729;1;13;2;0;1;0.57811;2
733;1;17;1;0;1;0.57641;2
734;1;18;2;0;1;0.53507;2
741;1;25;1;0;1;0.485;2
742;1;26;2;0;1;0.47475;2
744;1;28;1;0;1;0.43314;2
748;1;32;2;0;1;0.45563;2
756;1;40;1;0;1;0.40325;2
759;1;43;2;0;1;0.40638;2
761;1;45;2;0;1;0.35273;2
762;1;46;2;0;1;0.37297;2
763;1;47;2;0;1;0.44227;2
764;1;48;1;0;1;0.40557;2
765;1;49;1;0;1;0.42433;2
768;1;52;2;0;1;0.38409;2
770;1;54;2;0;1;0.36161;2
771;1;55;2;0;1;0.39686;2
773;1;57;1;0;1;0.51108;2
775;1;59;1;0;1;0.40082;2
1441;1;5;1;0;1;0.51879;3
1442;1;6;2;0;1;0.51115;3
1446;1;10;2;0;1;0.41072;3
1451;1;15;2;0;1;0.36961;3
1452;1;16;2;0;1;0.51805;3
1453;1;17;1;0;0;0.3885;3
1457;1;21;2;0;1;0.58852;3
1460;1;24;2;0;1;0.4519;3
1469;1;33;2;0;1;0.52745;3
1474;1;38;1;0;1;0.50703;3
1475;1;39;2;0;1;0.41667;3
1485;1;49;2;0;1;0.53711;3
1486;1;50;1;0;1;0.47215;3
1487;1;51;2;0;1;0.5164;3
1489;1;53;1;0;1;0.4562;3
1493;1;57;2;0;1;0.42368;3
1495;1;59;1;0;1;0.41115;3
1509;1;73;1;0;1;0.51017;3
1512;1;76;2;0;1;0.60334;3
1515;1;79;1;0;1;0.86656;3
1517;1;81;2;0;1;0.66264;3
1519;1;83;1;0;1;0.58276;3
